1	H	1312
2	He	2372.3
3	Li	520.2
4	Be	899.5
5	B	800.6
6	C	1086.5
7	N	1402.3
8	O	1313.9
9	F	1681
10	Ne	2080.7
11	Na	495.8
12	Mg	737.7
13	Al	577.5
14	Si	786.5
15	P	1011.8
16	S	999.6
17	Cl	1251.2
18	Ar	1520.6
19	K	418.8
20	Ca	589.8
21	Sc	633.1
22	Ti	658.8
23	V	650.9
24	Cr	652.9
25	Mn	717.3
26	Fe	762.5
27	Co	760.4
28	Ni	737.1
29	Cu	745.5
30	Zn	906.4
31	Ga	578.8
32	Ge	762
33	As	947
34	Se	941
35	Br	1139.9
36	Kr	1350.8
37	Rb	403
38	Sr	549.5
39	Y	600
40	Zr	640.1
41	Nb	652.1
42	Mo	684.3
43	Tc	702
44	Ru	710.2
45	Rh	719.7
46	Pd	804.4
47	Ag	731
48	Cd	867.8
49	In	558.3
50	Sn	708.6
51	Sb	834
52	Te	869.3
53	I	1008.4
54	Xe	1170.4
55	Cs	375.7
56	Ba	502.9
57	La	538.1
58	Ce	534.4
59	Pr	527
60	Nd	533.1
61	Pm	540
62	Sm	544.5
63	Eu	547.1
64	Gd	593.4
65	Tb	565.8
66	Dy	573
67	Ho	581
68	Er	589.3
69	Tm	596.7
70	Yb	603.4
71	Lu	523.5
72	Hf	658.5
73	Ta	761
74	W	770
75	Re	760
76	Os	840
77	Ir	880
78	Pt	870
79	Au	890.1
80	Hg	1007.1
81	Tl	589.4
82	Pb	715.6
83	Bi	703
84	Po	812.1
85	At	890
86	Rn	1037
87	Fr	380
88	Ra	509.3
89	Ac	499
90	Th	587
91	Pa	568
92	U	597.6
93	Np	604.5
94	Pu	584.7
95	Am	578
96	Cm	581
97	Bk	601
98	Cf	608
99	Es	619
100	Fm	627
101	Md	635
102	No	642
103	Lr	470
104	Rf	580
